countrycode,country,year,fdi,key
FRA,France,1982,0.271047895,FRA-1982
GBR,United Kingdom,1982,1.05101857,GBR-1982
GRC,Greece,1982,0.798271759,GRC-1982
HUN,Hungary,1982,,HUN-1982
IRL,Ireland,1982,1.125605525,IRL-1982
ISL,Iceland,1982,1.133226271,ISL-1982
ISR,Israel,1982,,ISR-1982
ITA,Italy,1982,0.144923413,ITA-1982
JPN,Japan,1982,0.03878299,JPN-1982
KOR,"Korea, Rep.",1982,0.088719244,KOR-1982
LUX,Luxembourg,1982,,LUX-1982
LVA,Latvia,1982,,LVA-1982
MEX,Mexico,1982,1.094268218,MEX-1982
NLD,Netherlands,1982,0.78455942,NLD-1982
NOR,Norway,1982,0.705561471,NOR-1982
NZL,New Zealand,1982,1.345719388,NZL-1982
POL,Poland,1982,,POL-1982
PRT,Portugal,1982,0.471763738,PRT-1982
SVK,Slovak Republic,1982,,SVK-1982
SVN,Slovenia,1982,,SVN-1982
SWE,Sweden,1982,0.31481883,SWE-1982
TUR,Turkey,1982,0.085210108,TUR-1982
USA,United States,1982,0.372915802,USA-1982
AUS,Australia,1983,1.686645721,AUS-1983
AUT,Austria,1983,0.299665023,AUT-1983
BEL,Belgium,1983,,BEL-1983
CAN,Canada,1983,0.587141206,CAN-1983
CHE,Switzerland,1983,0.577323359,CHE-1983
CHL,Chile,1983,0.663196455,CHL-1983
CZE,Czech Republic,1983,,CZE-1983
DEU,Germany,1983,0.22455168,DEU-1983
DNK,Denmark,1983,0.099152387,DNK-1983
ESP,Spain,1983,0.951621067,ESP-1983
EST,Estonia,1983,,EST-1983
FIN,Finland,1983,0.165582991,FIN-1983
FRA,France,1983,0.308227517,FRA-1983
GBR,United Kingdom,1983,1.057718801,GBR-1983
GRC,Greece,1983,0.888144876,GRC-1983
HUN,Hungary,1983,,HUN-1983
IRL,Ireland,1983,0.81598198,IRL-1983
ISL,Iceland,1983,-0.858723767,ISL-1983
ISR,Israel,1983,,ISR-1983
ITA,Italy,1983,0.269391612,ITA-1983
